CollectorVerbatim	Standarized_Collector
Ferrer, A.	Ferrer, A.
Figueroa-C., Y.	Figueroa-Cardozo, Yisela
Figueroa, L.	Figueroa, L.
Flores-A., M.I.	Flores-A., M.I.
Flórez, C.	Flórez, C.
Flórez, E.	Flórez, E.
Flórez, L.	Flórez, L.
Florido, H.	Florido, H.
Florschütz, P.A.	Florschütz, P.A.
Fonseca, J.	Fonseca, J.
Fonseca, T.	Fonseca, T.
Fontecha, H.D.	Fontecha, H.D.
Forero	Forero
Forero, A.P.	Forero, A.P.
Forero, C.	Forero, C.
Forero, C.A.	Forero, C.A.
Forero, D.	Forero, D.
Forero, D.P.	Forero, D.P.
Forero, E.	Forero, Enrique
Forero, G.	Forero, G.
Forero, L.	Forero, L.A.
Forero, L.A.	Forero, L.A.
Forero, P.	Forero, P.
Fosberg, F.R.	Fosberg, F.R.
Foster, M.B.	Foster, M.B.
Franco-R., P.	Franco-Rosselli, Pilar
Franco-Rodríguez, D.	Franco-Rodríguez, D.
Franco, F.	Franco, F.
Franco, J.E.	Franco, J.E.
Fredy	Fredy
Fuentes, J.	Fuentes, J.
Fuertes, J.	Fuertes, J.
Fundación La Conejera	Fundación La Conejera
Gabriel, A.	Gabriel, A.
Gaitán, A.	Gaitán, A.
Galeano, G.	Galeano, Gloria
Galeano, M.P.	Galeano, Martha Patricia
Galindo, D.M.	Galindo, D.M.
Galindo, N.	Galindo, N.
Gallego, M.	Gallego, M.
Galvis-G., E.	Galvis-G., E.
Galvis, M.	Galvis, Manuel
Galvis, Manuel	Galvis, Manuel
Gamboa, C.	Gamboa, C.
Gamboa, M.C.	Gamboa, M.C.
Gámez, H.	Gámez, H.
Garavito, D.	Garavito, D.
Garay, H.	Garay, H.
Garcés, M. de	Garcés, M. de
García-B., A.	García-Barriga, Hernando
García-Barriga, H.	García-Barriga, Hernando
García-C., J.	García-C., J.
García, A.	García, A.
García, B.	García, B.
García, C.	García, C.
García, F.	García, F.
García, G.	García, G.
García, H.	García, H.
García, L.A. de	García, L.A. de
García, M.	García, M.
García, M.C.	García, M.C.
García, N.	García, N.
García, Ni.	García, Ni.
García, R.	García, R.
García, Roger Fabián	García, Roger Fabián
García, Yamile	García, Yamile
Garrido-Linares, M.	Garrido-Linares, M.
Garzón-Venegas, J.	Garzón-Venegas, Javier
Garzón-Venegas, Javier	Garzón-Venegas, Javier
Garzón, A.	Garzón, A.
Garzón, B.	Garzón, B.
Garzón, C.	Garzón, C.
Garzón, E.	Garzón, E.
Garzón, M.	Garzón, M.R.
Garzón, M.R.	Garzón, M.R.
Gentry, A.H.	Gentry, Alwyn H.
Gil-Correa, A.	Gil-Correa, A.
Gil, C.E.	Gil, C.E.
Giraldo-C., G.	Giraldo-C., G.
Giraldo-Cañas, D.	Giraldo-Cañas, Diego
Giraldo-P., M.C.	Giraldo-P., M.C.
Giraldo-Quintero, S.E.	Giraldo-Quintero, S.E.
Giraldo, Catalina	Giraldo, María Catalina
Giraldo, María Catalina	Giraldo, María Catalina
Gloria, A.	Gloria, A.
Goitia, D.	Goitia, D.
Gómez-O., A.L.	Gómez-O., A.L.
Gómez-Ríos., D.C.	Gómez-Ríos., D.C.
Gómez, G.	Gómez, G.
Gómez, H.	Gómez, H.
Gómez, J.C.	Gómez, J.C.
Gómez, M.	Gómez, M.
Gómez, N.Y.	Gómez, N.Y.
Gómez, R.	Gómez, R.
Gonzaga-Gutierréz, L.	Gonzaga-Gutierréz, L.
Gonzáles, W.	Gonzáles, W.
González-Barón, D.J.	González-Barón, D.J.
González-Manios, J.C.	González-Manios, J.C.
González-Patiño, J.	González-Patiño, J.
González-Pinto, Alba Luz	González-Pinto, Alba Luz
González-Sicard, J.M.	González-Sicard, José M.
González-Sicard, José M.	González-Sicard, José M.
González, A.M.	González, A.M.
González, Alba Luz	González-Pinto, Alba Luz
González, C.P.	González, C.P.
González, E.	González, E.
González, E. C.	González, E. C.
González, F.	González, F.A.
González, F.A.	González, F.A.
González, I.	González, I.
González, J.	González, J.
González, M.	González, M.
González, M.C.	González, M.C.
González, R.	González, R.
González, R.E.	González, R.E.
González, S.	González, S.
González, Y.	González, Y.
Gordillo, E.	Gordillo, E.
Gordillo, J.	Gordillo, J.
Goudot, M.J.	Goudot, M.J.
Grabandt, R.A.J.	Grabandt, R.A.J.
Gracia, M.	Gracia, M.
Granados-Guzmán, Á.	Granados-Guzmán, Á.
Granados-T., J.C.	Granados-T., J.C.
Granados-Z., David E.	Granados-Z., David E.
Granados, A.M.	Granados, A.M.
Granados, F.A.	Granados, F.A.
Granados, H.A.	Granados, H.A.
Grandoso, S.A.	Grandoso, S.A.
Grant, J.R.	Grant, J.R.
Grant, M.L.	Grant, M.L.
Grifo, F.T.	Grifo, F.T.
Grisales, M.A.	Grisales, M.A.
Grubb, P.J.	Grubb, P.J.
Guacaneme, M.	Guacaneme, M.
Gualdrón, C.	Gualdrón, C.
Guarín, A.	Guarín, A.
Guarín, E.	Guarín, E.
Guataquira, G.	Guataquira, G.
Guerrero, E.	Guerrero, E.
Guette, J.	Guette, J.
Guevara-Amortegui, B.	Guevara-Amortegui, B.
Guevara-P., A.R.	Guevara-P., A.R.
Guevara, A.B.	Guevara, A.B.
Guevara, B.	Guevara, B.
Guevara, R.	Guevara, R.
Guevara, V.	Guevara, V.
Gutiérrez-V., G.	Gutiérrez-V., G.
Gutiérrez, M.	Gutiérrez, M.
Gutiérrez, Mauricio	Gutiérrez, Mauricio
Guzmán, A.	Guzmán, A.
Guzmán, E.	Guzmán, E.
Guzmán, F.	Guzmán, F.
Hagemann, W.	Hagemann, W.
Halight, O.	Halight, O.
Hartmann, C.	Hartmann, C.
Hartweg, K.T.	Hartweg, K.T.
Hatheway, W.H.	Hatheway, William H.
Hatheway, William H.	Hatheway, William H.
Haught, O.	Haught, O.
Haussknecht, H.C	Haussknecht, H.C
Hawkes, J.G.	Hawkes, J.G.
Hay, Y. O.	Hay, Y. O.
Hayoz, C.	Hayoz, C.
Heiserm, C.B.	Heiserm, C.B.
Henao, M.	Henao, M.
Henry, Y.	Henry, Y.
Herbario Nacional Colombiano	Herbario Nacional Colombiano
Hermann, F.J.	Hermann, F.J.
Hernández-Camacho, J.	Hernández-Camacho, J.
Hernández-Contreras, L.	Hernández-Contreras, L.
